"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"DHX29",-0.709287784722223,8.75849673958333,-0.767035394956451,0.45659899513949,0.658376884830983,-5.67798220769987,"Stable"
"GP5",0.636037902777778,6.59545113888889,0.766982755370377,0.456629232301835,0.658376884830983,-5.67802100675434,"Stable"
"TBL1XR1",0.316682763888888,4.72757877083333,0.766912058899999,0.456669843654405,0.658376884830983,-5.67807311118765,"Stable"
"TMX4",-0.311574541666667,8.59107799305556,-0.766885801329141,0.456684927806349,0.658376884830983,-5.67809246232723,"Stable"
"RAD54B",-0.604409861111111,6.66321713888889,-0.766422221071053,0.456951291658933,0.658719374125008,-5.67843400963647,"Stable"
"RP1-6P5.2",0.409967861111111,11.5768603611111,0.766347792147543,0.456994066098707,0.658739524642345,-5.67848882839045,"Stable"
"SPRTN",-0.585503187500001,5.01312509375,-0.766001168085906,0.457193304690533,0.658985195520171,-5.67874406189527,"Stable"
"CNPY2",0.362838583333332,4.06797218055556,0.765810043680648,0.457303185801867,0.659076687332621,-5.67888474973915,"Stable"
"ARHGAP15",-0.774973006944446,7.92976574652778,-0.765790536293491,0.45731440190727,0.659076687332621,-5.67889910745141,"Stable"
"CAMSAP3",0.173816972222223,5.28819809722222,0.765717366042011,0.457356473930807,0.659088028152774,-5.678952958827,"Stable"
"UGT8",0.428997104166666,5.25651273958333,0.765601678448865,0.457422997874193,0.659088028152774,-5.67903809230084,"Stable"
"LOC101928618",0.684009479166665,4.34206053125,0.765516869180057,0.457471769682075,0.659088028152774,-5.67910049526158,"Stable"
"KIAA1683",-0.320829625,3.79691545138889,-0.765510720638618,0.457475305689883,0.659088028152774,-5.67910501913586,"Stable"
"LOC101928098",0.491048277777777,5.3376735,0.765430645278915,0.457521358355535,0.659088028152774,-5.67916393267139,"Stable"
"LRRC7",0.255523486111111,3.51007946527778,0.765416337734502,0.457529587167496,0.659088028152774,-5.67917445851592,"Stable"
"FLJ13224",0.394039069444445,7.24339578472222,0.76533059494377,0.457578903046676,0.659088028152774,-5.6792375344454,"Stable"
"ACKR3",0.27764825,4.28878211111111,0.765305156653177,0.457593534791674,0.659088028152774,-5.67925624666441,"Stable"
"LOC101928054",-0.663333194444444,9.09902294444444,-0.765286485149954,0.457604274563008,0.659088028152774,-5.67926998092469,"Stable"
"PKD1L1",0.476833013888887,4.26821971527778,0.765275863268485,0.457610384295791,0.659088028152774,-5.67927779396175,"Stable"
"NPY2R",0.223885958333333,4.54384985416667,0.764994708757127,0.457772123672624,0.659249118817768,-5.67948456428921,"Stable"
"CHSY1",-0.46496265277778,9.14933990972222,-0.764981248818198,0.457779867652572,0.659249118817768,-5.67949446144088,"Stable"
"ZNF212",-0.354796958333335,9.30184654861111,-0.764703461654322,0.457939706794558,0.659387203839461,-5.67969868419942,"Stable"
"SPACA4",0.187146305555554,5.02065438888889,0.76466893410609,0.45795957644094,0.659387203839461,-5.67972406334971,"Stable"
"SSX2B",0.600116708333335,5.38416695138889,0.764637972777612,0.457977394286369,0.659387203839461,-5.67974682029758,"Stable"
"CAPN12",-0.518071638888889,8.33153929166667,-0.764555539899098,0.458024835464104,0.659387203839461,-5.67980740536737,"Stable"
"GTPBP8",-0.462075979166667,6.09519635763889,-0.764526189032787,0.458041728007389,0.659387203839461,-5.67982897571798,"Stable"
"SULT1A2",-0.309071041666666,8.59555395138889,-0.764501616627578,0.458055870664342,0.659387203839461,-5.67984703373351,"Stable"
"ZNF37BP",-0.568528131944444,7.45963872569444,-0.764463995250879,0.458077524192023,0.659387203839461,-5.67987468028551,"Stable"
"MCOLN3",-0.444208006944445,6.77535703819444,-0.763961586410749,0.45836675435983,0.659762025592114,-5.68024376329682,"Stable"
"TBC1D22A",-0.351987423611111,6.08740217013889,-0.763394949163725,0.458693097245994,0.660190215968249,-5.68065976543311,"Stable"
"PFKFB1",0.435638527777778,5.34086893055556,0.763280454357429,0.4587590558072,0.660243608722586,-5.68074378879292,"Stable"
"ME3",-0.325254479166666,5.63199994791667,-0.763130721404766,0.458845323443604,0.660326221634115,-5.68085365478275,"Stable"
"TRPV2",0.213600347222221,5.32740572916667,0.763048067408638,0.458892948340255,0.660346570129819,-5.68091429344261,"Stable"
"ZNF26",-0.419391055555555,7.25507929166667,-0.763005987441794,0.458917195835105,0.660346570129819,-5.68094516288898,"Stable"
"RBPMS",0.253649902777778,3.59018685416667,0.762693177220661,0.459097469797221,0.660564420346012,-5.68117458882145,"Stable"
