name,GSM1620822,GSM1620823,GSM1620824,GSM1620819,GSM1620820,GSM1620821,GSM1620912,GSM1620913,GSM1620914,GSM1620915,GSM1620916,GSM1620917
PIK3C2G,3.111492,3.868988,2.774647,3.057295,2.995704,3.724969,6.486311,4.806491,6.703018,3.417641,2.94186,3.663546
EXOSC8,12.463038,10.848885,10.862397,11.27923,10.710438,10.483186,10.491728,9.908402,10.74847,10.88878,10.807088,12.056101
HYPM,3.787949,4.205513,3.876378,3.903715,3.814774,4.360565,4.353871,3.902203,4.56583,4.740316,4.321142,4.897894
DPY19L2P2,5.829912,6.002361,6.022442,5.875796,6.304561,6.109758,4.454805,5.54225,6.608436,4.834267,6.997536,7.821028
CNTNAP2,4.269739,3.971197,4.88462,4.219413,5.010694,4.573553,4.854151,6.646798,5.957142,4.669722,3.946672,5.352108
AF007147,9.935398,10.526806,10.577068,10.409247,10.190633,10.277514,6.612189,7.763286,8.301405,9.184594,10.535832,8.182406
YOD1,3.111492,3.681144,3.077454,3.542023,3.509092,3.859718,6.163282,4.93059,4.460352,5.757668,3.631571,2.839137
DOCK10,9.056469,9.086272,9.212512,8.686465,8.573137,8.921943,8.597944,5.402319,6.724269,8.065324,9.763621,7.718594
WDR61,8.909395,9.632442,9.047223,8.657895,8.371815,9.7087,7.437577,7.269308,7.928827,8.285198,9.050025,8.572889
LOC100289097,10.834655,10.681626,10.432468,10.315323,10.388958,10.804357,8.678151,6.681746,10.19977,10.762233,10.519828,10.427793
CAMK1G,4.602834,4.390209,4.282407,4.379631,4.542935,4.345388,6.756042,8.814309,5.262544,4.961463,4.439835,4.546814
IGSF9B,4.109589,3.729606,4.102032,3.717968,3.973603,3.449026,7.563218,5.275447,4.632143,4.132492,3.634597,4.761438
SLC35E2,6.981827,5.582732,5.547052,6.478675,4.537897,6.686563,5.712125,6.499687,5.45882,3.76583,6.981326,4.756106
CEP152,5.901351,5.862701,6.104225,6.213467,5.770451,6.456702,5.765869,5.912736,8.171914,7.5011,6.165373,3.535681
PTPN20B,2.240603,2.474977,2.095505,2.092701,3.465835,2.120235,3.451997,3.966053,3.018698,2.30461,2.172693,2.123155
DNAAF1,5.811966,5.64551,4.993652,5.309937,6.382102,5.717819,7.235242,4.800777,6.968244,5.950471,5.759272,7.396705
FMO6P,3.196069,3.442716,3.21783,3.235218,4.176744,3.720133,4.79996,5.653984,5.203468,4.511793,3.300293,4.603655
RP11-429B14.4,3.973072,4.130467,4.255264,3.824256,4.22637,3.838632,4.97325,6.253995,5.131932,4.462006,4.391621,5.203694
LINC00963,7.907253,7.652198,7.881854,7.125077,7.436306,7.620894,5.818814,6.990092,7.840002,7.776027,6.582608,7.482175
FLJ11292,6.750206,5.751506,6.018208,6.348302,7.114253,6.595377,6.688794,9.135907,9.566736,6.921976,6.008413,7.884803
KRT86,5.641521,5.986061,6.125285,5.615616,5.513633,5.582987,6.747279,6.309617,5.52543,7.458443,5.689191,7.367482
PMS2P4,6.139498,5.313867,4.677526,4.787645,5.93773,5.202561,5.686013,6.073149,6.284743,4.543178,6.369236,4.967361
REPS1,8.869071,8.59499,8.479971,8.576128,6.710131,9.126739,7.224253,5.680012,7.641415,8.108208,8.676622,5.246671
NUS1,4.755814,3.834668,4.38831,4.233572,4.649433,4.122404,6.256929,5.305314,3.768972,5.297094,4.869102,4.536621
DLST,9.669724,9.963587,9.819413,9.823164,9.596505,9.895404,6.964239,5.951207,7.670414,10.518771,9.590527,8.509108
RRN3P1,6.99968,6.903658,6.997065,7.280413,5.30219,7.117773,6.523962,6.018248,7.165196,4.405228,7.471175,4.209529
NUP54,3.682663,3.989654,3.950227,3.309309,3.259937,3.984404,3.758562,4.839343,4.047297,3.734114,3.846391,6.198043
SNORA21,7.296137,8.287334,8.503761,7.682783,6.582811,8.813183,9.309596,4.45216,9.347259,7.417011,7.949752,7.257085
LOC100129973,5.481911,6.035187,5.7434,5.210869,4.288591,6.427622,6.29409,5.151844,4.798965,5.151705,4.462698,5.126271
PRKAG2,7.171578,6.980086,7.265965,6.944238,6.192349,7.762737,6.720203,6.576558,8.216956,6.520104,8.412702,6.009389
ZNF273,6.373578,6.479096,6.334409,7.161129,7.52785,8.37162,6.946659,6.089025,6.184591,5.947816,7.562037,5.867937
ANO3,2.540513,2.717384,2.697407,2.576282,2.565323,2.491163,4.533275,4.21883,2.824718,2.884401,3.276912,3.365221
LOC100288570,5.583428,5.664814,4.928969,5.560138,6.158043,5.827131,7.252033,7.03812,7.186248,5.85891,5.341633,5.329428
EMC3,7.322476,6.989096,8.049065,6.516172,7.730232,7.973101,5.128757,5.96983,8.811982,9.286529,7.445267,8.221207
ZXDA,8.458384,6.273161,7.066885,6.91339,7.465492,7.240451,7.730241,5.464981,6.402807,5.422157,5.741951,5.784137
EMX1,3.468284,3.219652,3.274486,3.211414,3.277917,3.242865,4.01484,4.863927,3.535175,3.69101,3.030404,3.364512
SLC8A2,3.856004,3.690614,3.617492,3.41629,3.642027,3.457834,4.339335,4.509285,4.062668,4.376885,3.877455,4.461604
KIAA0754,9.341029,9.295417,9.417974,9.354594,8.522945,9.624876,5.173156,5.162656,8.049543,5.837887,9.389562,4.61019
LFNG,5.780351,5.510438,5.863657,5.805617,5.790958,5.276595,5.168457,5.074743,5.630477,5.803047,5.399659,6.249021
TNN,3.052717,3.695042,3.598339,2.771493,4.448051,3.251357,5.298163,6.64206,4.403347,3.323915,5.899655,3.776555
LINC00667,7.711615,8.214491,8.873004,8.096981,8.477834,7.787918,6.457107,4.057438,7.320372,8.081166,8.118469,6.758625
TRPC2,4.835092,4.705378,5.046969,4.543436,4.731831,5.004784,6.58042,8.141207,5.638537,5.321054,5.180157,5.835731
ZNF749,4.669166,5.010597,5.585511,4.834145,6.15243,4.831969,6.606777,7.082698,5.234101,4.425323,4.79304,5.043659
PGAP2,7.702701,7.765146,8.047106,7.735346,7.00452,8.163086,7.757635,5.801857,6.369879,7.550662,7.398471,7.777899
LOC441204,3.274544,2.910918,3.150214,2.858798,3.733601,2.937967,5.410724,7.264075,4.009079,3.37708,2.899298,4.178491
RP11-714L20.1,4.171658,4.200621,4.106404,3.797194,4.163616,4.142188,6.215452,6.048067,6.132869,4.667815,4.068027,5.07468
LOC257152,3.044114,2.98803,2.716644,2.569748,2.658258,2.598537,5.232828,4.427278,3.018841,2.847239,2.616273,3.5352
ZNF529,8.122254,8.240081,8.125859,7.654496,8.217023,8.359925,7.903498,5.936818,6.117202,8.305287,8.968269,6.435134
ZNF674,2.605901,2.225419,2.719377,2.30461,2.15968,2.302039,3.24083,2.369633,2.429123,2.40059,2.00438,2.219452
ZNF549,5.820129,4.309348,5.36237,4.037962,4.632553,5.803271,4.596921,6.628804,3.479308,4.047396,3.527801,3.792608
MINOS1P1,9.213111,9.625721,8.98532,9.079728,8.517167,8.149122,5.16907,5.179182,8.443755,8.422593,8.544783,8.776859
SPATA31C2,3.85942,4.517807,4.157613,4.546333,4.915843,4.861227,5.149653,7.874751,5.99402,6.15714,4.016854,4.597945
